dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTT-IoT-IDS2020,audited_metadata_main,full,full_audited_metadata_main,multiclass,Extra Trees,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,full,full_audited_metadata_main,multiclass,HistGradientBoostingClassifier,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,full,full_audited_metadata_main,multiclass,MLP,all,,,,42,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.995502094738736,0.9940730017684862,0.9946216393096163,0.9943468702807687,0.9955033427069361,0.9995986436366011,0.9993779739426855,4.642901700004586,1.0397846148154904e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240045,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.259433400002308,2.1881023979409655e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992032282108618,0.9990417593185844,0.9989541517071427,0.9989979441978003,0.999203193239139,0.9997274380140299,0.9994665965835788,1.5417052999982843,1.940717608415852e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9991261212635258,0.9988428575900221,0.9989595747682115,0.9989011960770071,0.9991261723741742,0.9999959991632801,0.999989450156995,4.498833200006629,2.276682859181534e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9046958130927597,0.8708733806936899,0.934387939271685,0.8907540769773805,0.9084152143098131,0.961927843381199,0.8495094240253964,0.6940001999901142,4.870076592900777e-05
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Logistic Regression,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Random Forest,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
